State,Year,Total Area,Total Production,Total Yield
Andhra Pradesh,2001,11713392.0,1164617323.0,167031.13
Andhra Pradesh,2002,10496816.0,1190040312.0,169451.49
Andhra Pradesh,2003,11279160.0,1230375366.0,165713.85
Andhra Pradesh,2004,11765700.0,1236664058.0,192667.87
Andhra Pradesh,2005,12163532.0,934323514.0,143363.3
Andhra Pradesh,2006,11596887.0,1371878666.0,215223.87
Andhra Pradesh,2007,11717000.0,48749000.0,2351.85
Andhra Pradesh,2008,12499189.0,1015251164.0,159577.71
Andhra Pradesh,2009,11227223.0,1185865930.0,174554.87
Andhra Pradesh,2010,13137511.0,1266036101.0,204714.14
Andhra Pradesh,2011,12441741.0,1476808672.0,231820.63
Andhra Pradesh,2012,12016601.0,1714202088.0,195412.91999999998
Assam,2001,3525123.0,170915049.0,179375.01
Assam,2002,3495164.0,167309576.0,162328.68
Assam,2003,3389329.0,161429324.0,157782.88
Assam,2004,3110435.0,5762056.0,1751.92
Assam,2005,3253015.0,211320577.0,197806.74
Assam,2006,3004952.0,141791862.0,170985.73
Assam,2007,3143589.0,153717001.0,197326.75
Assam,2008,3278198.0,187601028.0,211233.26
Assam,2009,3346621.0,193938908.0,230977.94999999998
Assam,2010,3382209.0,167195933.0,196904.34
Assam,2011,3411781.0,184009203.0,200208.65
Assam,2012,3382291.0,145514086.0,171793.52
Gujarat,2001,8667300.0,25937700.0,2446.06
Gujarat,2002,8154700.0,22769500.0,2005.4
Gujarat,2003,9294800.0,33688400.0,3021.23
Gujarat,2004,9198200.0,32734300.0,2852.02
Gujarat,2005,9475900.0,41536900.0,3374.63
Gujarat,2006,10054800.0,37753700.0,3100.58
Gujarat,2007,10428900.0,42792500.0,3519.74
Gujarat,2008,9810900.0,37808100.0,3567.83
Gujarat,2009,9327800.0,33315800.0,3264.11
Gujarat,2010,11282500.0,44115300.0,3462.45
Gujarat,2011,11584800.0,43997200.0,3226.5
Gujarat,2012,9070000.0,20667100.0,3052.98
Haryana,2001,5605298.0,24351100.0,1761.58
Haryana,2002,5327908.0,25051100.0,2034.83
Haryana,2003,5630301.0,25077900.0,1963.34
Haryana,2004,5694999.0,24549400.0,2063.03
Haryana,2005,5772831.0,23697900.0,1936.92
Haryana,2006,5649788.0,27415200.0,2232.66
Haryana,2007,5626716.0,26902300.0,2070.05
Haryana,2008,5712098.0,24509800.0,4190.59
Haryana,2009,5153292.0,21495890.0,1924.04
Haryana,2010,5815981.0,20218700.0,1192.96
Haryana,2011,5840453.0,22553300.0,1044.29
Haryana,2012,5968203.0,27655438.0,2596.97
Karnataka,2001,10843755.0,1548736398.0,116253.84999999999
Karnataka,2002,10691520.0,1567662129.0,116566.44
Karnataka,2003,10654259.0,1554605247.0,116230.72
Karnataka,2004,11830958.0,1566634123.0,114704.71
Karnataka,2005,12234090.0,1643601762.0,117893.31
Karnataka,2006,11688011.0,1673317647.0,117008.95
Karnataka,2007,12067126.0,2108164218.0,152869.69
Karnataka,2008,11558674.0,2909338241.0,202767.36
Karnataka,2009,11206048.0,3106090728.0,211224.51
Karnataka,2010,12188867.0,4277532572.0,297127.97
Karnataka,2011,11141486.0,4470118401.0,305784.44
Karnataka,2012,10711418.0,4394399541.0,303519.76
Kerala,2001,1848915.0,5483095575.0,80762.49
Kerala,2002,1835847.0,5713156833.0,85470.26
Kerala,2003,1810940.0,5880165229.0,87317.99
Kerala,2004,1829339.0,6005025128.0,87512.79000000001
Kerala,2005,1818834.0,6330149104.0,92747.51
Kerala,2006,1738085.0,6058003175.0,92564.92
Kerala,2007,1589023.0,5644957554.0,90772.99
Kerala,2008,1530898.0,5806276893.0,96393.97
Kerala,2009,1517689.0,5671067005.0,95795.52
Kerala,2010,1442320.1,5290467763.0,92397.99
Kerala,2011,1428147.88,5944704113.0,97883.61
Kerala,2012,1421018.0,5802917681.0,95486.63
Madhya Pradesh,2001,18184731.0,21684123.0,4350.5
Madhya Pradesh,2002,18013007.0,17496960.0,3834.94
Madhya Pradesh,2003,19615208.0,26061418.0,4610.63
Madhya Pradesh,2004,18963833.0,22950405.0,4038.76
Madhya Pradesh,2005,18203697.0,23497922.0,3705.75
Madhya Pradesh,2006,19237958.0,25712172.0,4580.42
Madhya Pradesh,2007,19211518.0,24555465.0,4342.61
Madhya Pradesh,2008,19745802.0,26231090.0,4363.78
Madhya Pradesh,2009,20640619.0,28523114.0,4778.47
Madhya Pradesh,2010,21288474.0,29500217.0,4748.24
Madhya Pradesh,2011,21746664.0,37404116.0,4570.17
Madhya Pradesh,2012,22390789.0,45373352.0,5588.71
Maharashtra,2001,18840200.0,61239800.0,2509.75
Maharashtra,2002,18637100.0,58387990.0,2369.34
Maharashtra,2003,18155422.0,47285560.0,4059.4
Maharashtra,2004,19171200.0,40125600.0,2354.42
Maharashtra,2005,19791000.0,57152030.0,2380.41
Maharashtra,2006,21260800.0,87513600.0,2576.87
Maharashtra,2007,21311700.0,115850200.0,2813.95
Maharashtra,2008,19309700.0,79066700.0,2428.08
Maharashtra,2009,20141800.0,84680210.0,2676.18
Maharashtra,2010,26028500.0,118380550.0,2688.83
Maharashtra,2011,19751400.0,113534720.0,2764.71
Maharashtra,2012,19580920.0,98532770.0,2439.76
Rajasthan,2001,19065449.0,19226639.0,2321.2400000000002
Rajasthan,2002,12217086.0,10388688.0,1905.83
Rajasthan,2003,20394434.0,24025007.0,2580.44
Rajasthan,2004,19880020.0,19789829.0,2490.76
Rajasthan,2005,20957059.0,19402540.0,2677.56
Rajasthan,2006,20642790.0,22882471.0,2860.13
Rajasthan,2007,21276447.0,23918729.0,2619.71
Rajasthan,2008,21869765.0,25148242.0,2693.19
Rajasthan,2009,20757450.0,19013355.0,2834.89
Rajasthan,2010,24808203.0,34024225.0,3253.05
Rajasthan,2011,23156715.0,33098918.0,3386.78
Rajasthan,2012,22682647.0,31387794.0,3477.3
Tamil Nadu,2001,4324672.0,41594747.0,3139.4500000000003
Tamil Nadu,2002,4403397.0,2895559987.0,234982.77
Tamil Nadu,2003,4611134.0,2591602332.0,223725.98
Tamil Nadu,2004,5160710.0,4137470098.0,322279.78
Tamil Nadu,2005,5322577.0,4919518263.0,348481.67
Tamil Nadu,2006,5085646.0,5499430895.0,401888.59
Tamil Nadu,2007,5052596.0,5496440444.0,389655.64
Tamil Nadu,2008,5039862.0,5413477808.0,446290.76
Tamil Nadu,2009,4765920.0,5595192301.0,445340.47
Tamil Nadu,2010,3663444.0,42654573.0,3794.84
Tamil Nadu,2011,4976579.0,6260899489.0,419128.72000000003
Tamil Nadu,2012,3155762.0,40358458.0,3391.93
Uttar Pradesh,2001,23675326.0,172562163.0,7066.49
Uttar Pradesh,2002,22199232.0,170060872.0,8156.06
Uttar Pradesh,2003,23639115.0,172597287.0,8375.52
Uttar Pradesh,2004,21664689.0,171209682.0,9553.73
Uttar Pradesh,2005,21066195.0,175419236.0,9568.87
Uttar Pradesh,2006,23781592.0,187500450.0,11300.55
Uttar Pradesh,2007,22784355.0,179403646.0,9558.69
Uttar Pradesh,2008,23476486.0,168238722.0,9706.67
Uttar Pradesh,2009,22955612.0,175526148.0,12399.29
Uttar Pradesh,2010,23631457.0,182882131.0,9507.61
Uttar Pradesh,2011,24115678.0,195007190.0,12567.94
Uttar Pradesh,2012,24002263.0,205230988.0,13260.75
West Bengal,2001,7972615.0,365545433.0,225065.79
West Bengal,2002,8250708.0,357088401.0,222462.29
West Bengal,2003,8385405.0,351634524.0,225172.12
West Bengal,2004,8196802.874,343749596.0,229512.04
West Bengal,2005,8171336.0,356821935.0,218085.98
West Bengal,2006,8242863.0,390769181.0,241146.32
West Bengal,2007,8265396.0,392506558.0,226039.19
West Bengal,2008,8382522.0,388045138.0,223474.27
West Bengal,2009,7989339.0,403471790.0,224273.81
West Bengal,2010,7275810.0,402496245.0,224548.49
West Bengal,2011,7784493.0,404277774.0,224962.59
West Bengal,2012,7880137.0,408299275.0,228102.7
